vtx-F04-n52-n5-n3	Δ = -52	bi.bi = -5	b0.bi = -3	
vtx-F04-442-41-25	Δ = 442	bi.bi = 41	b0.bi = 25	1 x (irr-F4-26) + 9 x (irr-F4-52)
vtx-F04-454-71-31	Δ = 454	bi.bi = 71	b0.bi = 31	7 x (irr-F4-26) + 1 x (irr-F4-324)
vtx-F04-454-74-32	Δ = 454	bi.bi = 74	b0.bi = 32	5 x (irr-F4-26) + 1 x (irr-F4-52) + 1 x (irr-F4-324)
vtx-F04-454-77-33	Δ = 454	bi.bi = 77	b0.bi = 33	3 x (irr-F4-26) + 2 x (irr-F4-52) + 1 x (irr-F4-324)
vtx-F04-454-80-34	Δ = 454	bi.bi = 80	b0.bi = 34	1 x (irr-F4-26) + 3 x (irr-F4-52) + 1 x (irr-F4-324)
vtx-F04-455-53-27	Δ = 455	bi.bi = 53	b0.bi = 27	9 x (irr-F4-26) + 1 x (irr-F4-273)
vtx-F04-455-56-28	Δ = 455	bi.bi = 56	b0.bi = 28	7 x (irr-F4-26) + 1 x (irr-F4-52) + 1 x (irr-F4-273)
vtx-F04-455-59-29	Δ = 455	bi.bi = 59	b0.bi = 29	5 x (irr-F4-26) + 2 x (irr-F4-52) + 1 x (irr-F4-273)
vtx-F04-455-62-30	Δ = 455	bi.bi = 62	b0.bi = 30	3 x (irr-F4-26) + 3 x (irr-F4-52) + 1 x (irr-F4-273)
vtx-F04-455-65-31	Δ = 455	bi.bi = 65	b0.bi = 31	1 x (irr-F4-26) + 4 x (irr-F4-52) + 1 x (irr-F4-273)
vtx-F04-468-15-17	Δ = 468	bi.bi = 15	b0.bi = 17	20 x (irr-F4-26)
vtx-F04-468-18-18	Δ = 468	bi.bi = 18	b0.bi = 18	18 x (irr-F4-26) + 1 x (irr-F4-52)
vtx-F04-468-21-19	Δ = 468	bi.bi = 21	b0.bi = 19	16 x (irr-F4-26) + 2 x (irr-F4-52)
vtx-F04-468-24-20	Δ = 468	bi.bi = 24	b0.bi = 20	14 x (irr-F4-26) + 3 x (irr-F4-52)
vtx-F04-468-27-21	Δ = 468	bi.bi = 27	b0.bi = 21	12 x (irr-F4-26) + 4 x (irr-F4-52)
vtx-F04-468-30-22	Δ = 468	bi.bi = 30	b0.bi = 22	10 x (irr-F4-26) + 5 x (irr-F4-52)
vtx-F04-468-33-23	Δ = 468	bi.bi = 33	b0.bi = 23	8 x (irr-F4-26) + 6 x (irr-F4-52)
vtx-F04-468-36-24	Δ = 468	bi.bi = 36	b0.bi = 24	6 x (irr-F4-26) + 7 x (irr-F4-52)
vtx-F04-468-39-25	Δ = 468	bi.bi = 39	b0.bi = 25	4 x (irr-F4-26) + 8 x (irr-F4-52)
vtx-F04-468-42-26	Δ = 468	bi.bi = 42	b0.bi = 26	2 x (irr-F4-26) + 9 x (irr-F4-52)
vtx-F04-468-45-27	Δ = 468	bi.bi = 45	b0.bi = 27	10 x (irr-F4-52)
vtx-F04-480-72-32	Δ = 480	bi.bi = 72	b0.bi = 32	8 x (irr-F4-26) + 1 x (irr-F4-324)
vtx-F04-480-75-33	Δ = 480	bi.bi = 75	b0.bi = 33	6 x (irr-F4-26) + 1 x (irr-F4-52) + 1 x (irr-F4-324)
vtx-F04-480-78-34	Δ = 480	bi.bi = 78	b0.bi = 34	4 x (irr-F4-26) + 2 x (irr-F4-52) + 1 x (irr-F4-324)
vtx-F04-480-81-35	Δ = 480	bi.bi = 81	b0.bi = 35	2 x (irr-F4-26) + 3 x (irr-F4-52) + 1 x (irr-F4-324)
vtx-F04-480-84-36	Δ = 480	bi.bi = 84	b0.bi = 36	4 x (irr-F4-52) + 1 x (irr-F4-324)
vtx-F04-481-54-28	Δ = 481	bi.bi = 54	b0.bi = 28	10 x (irr-F4-26) + 1 x (irr-F4-273)
vtx-F04-481-57-29	Δ = 481	bi.bi = 57	b0.bi = 29	8 x (irr-F4-26) + 1 x (irr-F4-52) + 1 x (irr-F4-273)
vtx-F04-481-60-30	Δ = 481	bi.bi = 60	b0.bi = 30	6 x (irr-F4-26) + 2 x (irr-F4-52) + 1 x (irr-F4-273)
vtx-F04-481-63-31	Δ = 481	bi.bi = 63	b0.bi = 31	4 x (irr-F4-26) + 3 x (irr-F4-52) + 1 x (irr-F4-273)
vtx-F04-481-66-32	Δ = 481	bi.bi = 66	b0.bi = 32	2 x (irr-F4-26) + 4 x (irr-F4-52) + 1 x (irr-F4-273)
vtx-F04-481-69-33	Δ = 481	bi.bi = 69	b0.bi = 33	5 x (irr-F4-52) + 1 x (irr-F4-273)
vtx-F04-494-16-18	Δ = 494	bi.bi = 16	b0.bi = 18	21 x (irr-F4-26)
vtx-F04-494-19-19	Δ = 494	bi.bi = 19	b0.bi = 19	19 x (irr-F4-26) + 1 x (irr-F4-52)
vtx-F04-494-22-20	Δ = 494	bi.bi = 22	b0.bi = 20	17 x (irr-F4-26) + 2 x (irr-F4-52)
vtx-F04-494-25-21	Δ = 494	bi.bi = 25	b0.bi = 21	15 x (irr-F4-26) + 3 x (irr-F4-52)
vtx-F04-494-28-22	Δ = 494	bi.bi = 28	b0.bi = 22	13 x (irr-F4-26) + 4 x (irr-F4-52)
vtx-F04-494-31-23	Δ = 494	bi.bi = 31	b0.bi = 23	11 x (irr-F4-26) + 5 x (irr-F4-52)
vtx-F04-494-34-24	Δ = 494	bi.bi = 34	b0.bi = 24	9 x (irr-F4-26) + 6 x (irr-F4-52)
vtx-F04-494-37-25	Δ = 494	bi.bi = 37	b0.bi = 25	7 x (irr-F4-26) + 7 x (irr-F4-52)
vtx-F04-494-40-26	Δ = 494	bi.bi = 40	b0.bi = 26	5 x (irr-F4-26) + 8 x (irr-F4-52)
vtx-F04-494-43-27	Δ = 494	bi.bi = 43	b0.bi = 27	3 x (irr-F4-26) + 9 x (irr-F4-52)
vtx-F04-494-46-28	Δ = 494	bi.bi = 46	b0.bi = 28	1 x (irr-F4-26) + 10 x (irr-F4-52)
vtx-F04-494-93-39	Δ = 494	bi.bi = 93	b0.bi = 39	2 x (irr-F4-273)
vtx-F04-506-73-33	Δ = 506	bi.bi = 73	b0.bi = 33	9 x (irr-F4-26) + 1 x (irr-F4-324)
vtx-F04-506-76-34	Δ = 506	bi.bi = 76	b0.bi = 34	7 x (irr-F4-26) + 1 x (irr-F4-52) + 1 x (irr-F4-324)
vtx-F04-506-79-35	Δ = 506	bi.bi = 79	b0.bi = 35	5 x (irr-F4-26) + 2 x (irr-F4-52) + 1 x (irr-F4-324)
vtx-F04-506-82-36	Δ = 506	bi.bi = 82	b0.bi = 36	3 x (irr-F4-26) + 3 x (irr-F4-52) + 1 x (irr-F4-324)
vtx-F04-506-85-37	Δ = 506	bi.bi = 85	b0.bi = 37	1 x (irr-F4-26) + 4 x (irr-F4-52) + 1 x (irr-F4-324)
vtx-F04-507-55-29	Δ = 507	bi.bi = 55	b0.bi = 29	11 x (irr-F4-26) + 1 x (irr-F4-273)
vtx-F04-507-58-30	Δ = 507	bi.bi = 58	b0.bi = 30	9 x (irr-F4-26) + 1 x (irr-F4-52) + 1 x (irr-F4-273)
vtx-F04-507-61-31	Δ = 507	bi.bi = 61	b0.bi = 31	7 x (irr-F4-26) + 2 x (irr-F4-52) + 1 x (irr-F4-273)
vtx-F04-507-64-32	Δ = 507	bi.bi = 64	b0.bi = 32	5 x (irr-F4-26) + 3 x (irr-F4-52) + 1 x (irr-F4-273)
vtx-F04-507-67-33	Δ = 507	bi.bi = 67	b0.bi = 33	3 x (irr-F4-26) + 4 x (irr-F4-52) + 1 x (irr-F4-273)
vtx-F04-507-70-34	Δ = 507	bi.bi = 70	b0.bi = 34	1 x (irr-F4-26) + 5 x (irr-F4-52) + 1 x (irr-F4-273)
vtx-F04-520-17-19	Δ = 520	bi.bi = 17	b0.bi = 19	22 x (irr-F4-26)
vtx-F04-520-20-20	Δ = 520	bi.bi = 20	b0.bi = 20	20 x (irr-F4-26) + 1 x (irr-F4-52)
vtx-F04-520-23-21	Δ = 520	bi.bi = 23	b0.bi = 21	18 x (irr-F4-26) + 2 x (irr-F4-52)
vtx-F04-520-26-22	Δ = 520	bi.bi = 26	b0.bi = 22	16 x (irr-F4-26) + 3 x (irr-F4-52)
vtx-F04-520-29-23	Δ = 520	bi.bi = 29	b0.bi = 23	14 x (irr-F4-26) + 4 x (irr-F4-52)
vtx-F04-520-32-24	Δ = 520	bi.bi = 32	b0.bi = 24	12 x (irr-F4-26) + 5 x (irr-F4-52)
