vtx-G02-n7-n3-n1	Δ = -7	bi.bi = -3	b0.bi = -1	1 x (irr-G2-7)
vtx-G02-138-99-21	Δ = 138	bi.bi = 99	b0.bi = 21	1 x (irr-G2-7) + 1 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-138-144-24	Δ = 138	bi.bi = 144	b0.bi = 24	3 x (irr-G2-7) + 2 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-139-17-9	Δ = 139	bi.bi = 17	b0.bi = 9	14 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-139-25-11	Δ = 139	bi.bi = 25	b0.bi = 11	8 x (irr-G2-7) + 5 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-139-33-13	Δ = 139	bi.bi = 33	b0.bi = 13	2 x (irr-G2-7) + 8 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-139-67-17	Δ = 139	bi.bi = 67	b0.bi = 17	5 x (irr-G2-7) + 2 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-139-94-20	Δ = 139	bi.bi = 94	b0.bi = 20	3 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-139-139-23	Δ = 139	bi.bi = 139	b0.bi = 23	5 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-140-4-6	Δ = 140	bi.bi = 4	b0.bi = 6	22 x (irr-G2-7)
vtx-G02-140-12-8	Δ = 140	bi.bi = 12	b0.bi = 8	16 x (irr-G2-7) + 3 x (irr-G2-14)
vtx-G02-140-20-10	Δ = 140	bi.bi = 20	b0.bi = 10	10 x (irr-G2-7) + 6 x (irr-G2-14)
vtx-G02-140-28-12	Δ = 140	bi.bi = 28	b0.bi = 12	4 x (irr-G2-7) + 9 x (irr-G2-14)
vtx-G02-140-62-16	Δ = 140	bi.bi = 62	b0.bi = 16	7 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-140-70-18	Δ = 140	bi.bi = 70	b0.bi = 18	1 x (irr-G2-7) + 4 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-140-81-17	Δ = 140	bi.bi = 81	b0.bi = 17	11 x (irr-G2-7) + 1 x (irr-G2-77a)
vtx-G02-140-89-19	Δ = 140	bi.bi = 89	b0.bi = 19	5 x (irr-G2-7) + 3 x (irr-G2-14) + 1 x (irr-G2-77a)
vtx-G02-140-134-22	Δ = 140	bi.bi = 134	b0.bi = 22	7 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-77b)
vtx-G02-140-142-24	Δ = 140	bi.bi = 142	b0.bi = 24	1 x (irr-G2-7) + 5 x (irr-G2-14) + 1 x (irr-G2-77b)
vtx-G02-140-158-28	Δ = 140	bi.bi = 158	b0.bi = 28	2 x (irr-G2-77a)
vtx-G02-141-57-15	Δ = 141	bi.bi = 57	b0.bi = 15	9 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-64)
vtx-G02-141-65-17	Δ = 141	bi.bi = 65	b0.bi = 17	3 x (irr-G2-7) + 5 x (irr-G2-14) + 1 x (irr-G2-64)
vtx-G02-141-107-23	Δ = 141	bi.bi = 107	b0.bi = 23	1 x (irr-G2-27) + 2 x (irr-G2-64)
vtx-G02-141-179-29	Δ = 141	bi.bi = 179	b0.bi = 29	1 x (irr-G2-14) + 1 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-142-102-22	Δ = 142	bi.bi = 102	b0.bi = 22	2 x (irr-G2-7) + 1 x (irr-G2-14) + 2 x (irr-G2-64)
vtx-G02-143-35-13	Δ = 143	bi.bi = 35	b0.bi = 13	7 x (irr-G2-7) + 4 x (irr-G2-27)
vtx-G02-143-43-15	Δ = 143	bi.bi = 43	b0.bi = 15	1 x (irr-G2-7) + 3 x (irr-G2-14) + 4 x (irr-G2-27)
vtx-G02-144-30-12	Δ = 144	bi.bi = 30	b0.bi = 12	9 x (irr-G2-7) + 1 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-144-38-14	Δ = 144	bi.bi = 38	b0.bi = 14	3 x (irr-G2-7) + 4 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-144-152-26	Δ = 144	bi.bi = 152	b0.bi = 26	3 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-145-25-11	Δ = 145	bi.bi = 25	b0.bi = 11	11 x (irr-G2-7) + 2 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-145-33-13	Δ = 145	bi.bi = 33	b0.bi = 13	5 x (irr-G2-7) + 5 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-145-75-19	Δ = 145	bi.bi = 75	b0.bi = 19	2 x (irr-G2-7) + 3 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-145-102-22	Δ = 145	bi.bi = 102	b0.bi = 22	2 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-145-147-25	Δ = 145	bi.bi = 147	b0.bi = 25	2 x (irr-G2-7) + 1 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-146-12-8	Δ = 146	bi.bi = 12	b0.bi = 8	19 x (irr-G2-7) + 1 x (irr-G2-27)
vtx-G02-146-20-10	Δ = 146	bi.bi = 20	b0.bi = 10	13 x (irr-G2-7) + 3 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-146-28-12	Δ = 146	bi.bi = 28	b0.bi = 12	7 x (irr-G2-7) + 6 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-146-36-14	Δ = 146	bi.bi = 36	b0.bi = 14	1 x (irr-G2-7) + 9 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-146-70-18	Δ = 146	bi.bi = 70	b0.bi = 18	4 x (irr-G2-7) + 1 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-146-89-19	Δ = 146	bi.bi = 89	b0.bi = 19	8 x (irr-G2-7) + 1 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-146-97-21	Δ = 146	bi.bi = 97	b0.bi = 21	2 x (irr-G2-7) + 3 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-146-142-24	Δ = 146	bi.bi = 142	b0.bi = 24	4 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-147-7-7	Δ = 147	bi.bi = 7	b0.bi = 7	21 x (irr-G2-7) + 1 x (irr-G2-14)
vtx-G02-147-15-9	Δ = 147	bi.bi = 15	b0.bi = 9	15 x (irr-G2-7) + 4 x (irr-G2-14)
vtx-G02-147-23-11	Δ = 147	bi.bi = 23	b0.bi = 11	9 x (irr-G2-7) + 7 x (irr-G2-14)
vtx-G02-147-31-13	Δ = 147	bi.bi = 31	b0.bi = 13	3 x (irr-G2-7) + 10 x (irr-G2-14)
vtx-G02-147-65-17	Δ = 147	bi.bi = 65	b0.bi = 17	6 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-147-73-19	Δ = 147	bi.bi = 73	b0.bi = 19	5 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-147-84-18	Δ = 147	bi.bi = 84	b0.bi = 18	10 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-77a)
vtx-G02-147-92-20	Δ = 147	bi.bi = 92	b0.bi = 20	4 x (irr-G2-7) + 4 x (irr-G2-14) + 1 x (irr-G2-77a)
vtx-G02-147-129-21	Δ = 147	bi.bi = 129	b0.bi = 21	12 x (irr-G2-7) + 1 x (irr-G2-77b)
vtx-G02-147-137-23	Δ = 147	bi.bi = 137	b0.bi = 23	6 x (irr-G2-7) + 3 x (irr-G2-14) + 1 x (irr-G2-77b)
vtx-G02-147-145-25	Δ = 147	bi.bi = 145	b0.bi = 25	6 x (irr-G2-14) + 1 x (irr-G2-77b)
vtx-G02-147-206-32	Δ = 147	bi.bi = 206	b0.bi = 32	1 x (irr-G2-7) + 1 x (irr-G2-77a) + 1 x (irr-G2-77b)
vtx-G02-148-52-14	Δ = 148	bi.bi = 52	b0.bi = 14	14 x (irr-G2-7) + 1 x (irr-G2-64)
vtx-G02-148-60-16	Δ = 148	bi.bi = 60	b0.bi = 16	8 x (irr-G2-7) + 3 x (irr-G2-14) + 1 x (irr-G2-64)
vtx-G02-148-68-18	Δ = 148	bi.bi = 68	b0.bi = 18	2 x (irr-G2-7) + 6 x (irr-G2-14) + 1 x (irr-G2-64)
vtx-G02-148-129-25	Δ = 148	bi.bi = 129	b0.bi = 25	3 x (irr-G2-7) + 1 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-149-43-15	Δ = 149	bi.bi = 43	b0.bi = 15	4 x (irr-G2-7) + 5 x (irr-G2-27)
vtx-G02-149-105-23	Δ = 149	bi.bi = 105	b0.bi = 23	1 x (irr-G2-7) + 2 x (irr-G2-14) + 2 x (irr-G2-64)
vtx-G02-150-38-14	Δ = 150	bi.bi = 38	b0.bi = 14	6 x (irr-G2-7) + 1 x (irr-G2-14) + 4 x (irr-G2-27)
vtx-G02-150-46-16	Δ = 150	bi.bi = 46	b0.bi = 16	4 x (irr-G2-14) + 4 x (irr-G2-27)
vtx-G02-151-33-13	Δ = 151	bi.bi = 33	b0.bi = 13	8 x (irr-G2-7) + 2 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-151-41-15	Δ = 151	bi.bi = 41	b0.bi = 15	2 x (irr-G2-7) + 5 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-152-20-10	Δ = 152	bi.bi = 20	b0.bi = 10	16 x (irr-G2-7) + 2 x (irr-G2-27)
vtx-G02-152-28-12	Δ = 152	bi.bi = 28	b0.bi = 12	10 x (irr-G2-7) + 3 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-152-36-14	Δ = 152	bi.bi = 36	b0.bi = 14	4 x (irr-G2-7) + 6 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-152-78-20	Δ = 152	bi.bi = 78	b0.bi = 20	1 x (irr-G2-7) + 1 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-152-97-21	Δ = 152	bi.bi = 97	b0.bi = 21	5 x (irr-G2-7) + 2 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-152-150-26	Δ = 152	bi.bi = 150	b0.bi = 26	1 x (irr-G2-7) + 2 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-153-15-9	Δ = 153	bi.bi = 15	b0.bi = 9	18 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-153-23-11	Δ = 153	bi.bi = 23	b0.bi = 11	12 x (irr-G2-7) + 4 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-153-31-13	Δ = 153	bi.bi = 31	b0.bi = 13	6 x (irr-G2-7) + 7 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-153-39-15	Δ = 153	bi.bi = 39	b0.bi = 15	10 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-153-73-19	Δ = 153	bi.bi = 73	b0.bi = 19	3 x (irr-G2-7) + 2 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-153-92-20	Δ = 153	bi.bi = 92	b0.bi = 20	7 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-153-100-22	Δ = 153	bi.bi = 100	b0.bi = 22	1 x (irr-G2-7) + 4 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-153-137-23	Δ = 153	bi.bi = 137	b0.bi = 23	9 x (irr-G2-7) + 1 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-153-145-25	Δ = 153	bi.bi = 145	b0.bi = 25	3 x (irr-G2-7) + 3 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-154-10-8	Δ = 154	bi.bi = 10	b0.bi = 8	20 x (irr-G2-7) + 2 x (irr-G2-14)
vtx-G02-154-18-10	Δ = 154	bi.bi = 18	b0.bi = 10	14 x (irr-G2-7) + 5 x (irr-G2-14)
vtx-G02-154-26-12	Δ = 154	bi.bi = 26	b0.bi = 12	8 x (irr-G2-7) + 8 x (irr-G2-14)
vtx-G02-154-34-14	Δ = 154	bi.bi = 34	b0.bi = 14	2 x (irr-G2-7) + 11 x (irr-G2-14)
vtx-G02-154-60-16	Δ = 154	bi.bi = 60	b0.bi = 16	11 x (irr-G2-7) + 1 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-154-68-18	Δ = 154	bi.bi = 68	b0.bi = 18	5 x (irr-G2-7) + 3 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-154-87-19	Δ = 154	bi.bi = 87	b0.bi = 19	9 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-77a)
vtx-G02-154-95-21	Δ = 154	bi.bi = 95	b0.bi = 21	3 x (irr-G2-7) + 5 x (irr-G2-14) + 1 x (irr-G2-77a)
vtx-G02-154-132-22	Δ = 154	bi.bi = 132	b0.bi = 22	11 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-77b)
vtx-G02-154-137-27	Δ = 154	bi.bi = 137	b0.bi = 27	1 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-154-140-24	Δ = 154	bi.bi = 140	b0.bi = 24	5 x (irr-G2-7) + 4 x (irr-G2-14) + 1 x (irr-G2-77b)
vtx-G02-154-209-33	Δ = 154	bi.bi = 209	b0.bi = 33	1 x (irr-G2-14) + 1 x (irr-G2-77a) + 1 x (irr-G2-77b)
vtx-G02-154-254-36	Δ = 154	bi.bi = 254	b0.bi = 36	2 x (irr-G2-7) + 2 x (irr-G2-77b)
vtx-G02-155-51-17	Δ = 155	bi.bi = 51	b0.bi = 17	1 x (irr-G2-7) + 6 x (irr-G2-27)
vtx-G02-155-55-15	Δ = 155	bi.bi = 55	b0.bi = 15	13 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-64)
vtx-G02-155-63-17	Δ = 155	bi.bi = 63	b0.bi = 17	7 x (irr-G2-7) + 4 x (irr-G2-14) + 1 x (irr-G2-64)
vtx-G02-155-71-19	Δ = 155	bi.bi = 71	b0.bi = 19	1 x (irr-G2-7) + 7 x (irr-G2-14) + 1 x (irr-G2-64)
vtx-G02-155-132-26	Δ = 155	bi.bi = 132	b0.bi = 26	2 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-155-177-29	Δ = 155	bi.bi = 177	b0.bi = 29	4 x (irr-G2-7) + 1 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-156-46-16	Δ = 156	bi.bi = 46	b0.bi = 16	3 x (irr-G2-7) + 1 x (irr-G2-14) + 5 x (irr-G2-27)
vtx-G02-156-100-22	Δ = 156	bi.bi = 100	b0.bi = 22	6 x (irr-G2-7) + 2 x (irr-G2-64)
vtx-G02-156-108-24	Δ = 156	bi.bi = 108	b0.bi = 24	3 x (irr-G2-14) + 2 x (irr-G2-64)
vtx-G02-157-41-15	Δ = 157	bi.bi = 41	b0.bi = 15	5 x (irr-G2-7) + 2 x (irr-G2-14) + 4 x (irr-G2-27)
vtx-G02-158-28-12	Δ = 158	bi.bi = 28	b0.bi = 12	13 x (irr-G2-7) + 3 x (irr-G2-27)
vtx-G02-158-36-14	Δ = 158	bi.bi = 36	b0.bi = 14	7 x (irr-G2-7) + 3 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-158-44-16	Δ = 158	bi.bi = 44	b0.bi = 16	1 x (irr-G2-7) + 6 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-158-105-23	Δ = 158	bi.bi = 105	b0.bi = 23	2 x (irr-G2-7) + 3 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-159-23-11	Δ = 159	bi.bi = 23	b0.bi = 11	15 x (irr-G2-7) + 1 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-159-31-13	Δ = 159	bi.bi = 31	b0.bi = 13	9 x (irr-G2-7) + 4 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-159-39-15	Δ = 159	bi.bi = 39	b0.bi = 15	3 x (irr-G2-7) + 7 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-159-81-21	Δ = 159	bi.bi = 81	b0.bi = 21	2 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-159-100-22	Δ = 159	bi.bi = 100	b0.bi = 22	4 x (irr-G2-7) + 1 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-159-145-25	Δ = 159	bi.bi = 145	b0.bi = 25	6 x (irr-G2-7) + 2 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-159-153-27	Δ = 159	bi.bi = 153	b0.bi = 27	3 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-160-18-10	Δ = 160	bi.bi = 18	b0.bi = 10	17 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-160-26-12	Δ = 160	bi.bi = 26	b0.bi = 12	11 x (irr-G2-7) + 5 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-160-34-14	Δ = 160	bi.bi = 34	b0.bi = 14	5 x (irr-G2-7) + 8 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-160-68-18	Δ = 160	bi.bi = 68	b0.bi = 18	8 x (irr-G2-7) + 2 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-160-76-20	Δ = 160	bi.bi = 76	b0.bi = 20	2 x (irr-G2-7) + 3 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-160-95-21	Δ = 160	bi.bi = 95	b0.bi = 21	6 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-160-103-23	Δ = 160	bi.bi = 103	b0.bi = 23	5 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-160-140-24	Δ = 160	bi.bi = 140	b0.bi = 24	8 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-160-148-26	Δ = 160	bi.bi = 148	b0.bi = 26	2 x (irr-G2-7) + 4 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-161-5-7	Δ = 161	bi.bi = 5	b0.bi = 7	25 x (irr-G2-7)
vtx-G02-161-13-9	Δ = 161	bi.bi = 13	b0.bi = 9	19 x (irr-G2-7) + 3 x (irr-G2-14)
vtx-G02-161-21-11	Δ = 161	bi.bi = 21	b0.bi = 11	13 x (irr-G2-7) + 6 x (irr-G2-14)
vtx-G02-161-29-13	Δ = 161	bi.bi = 29	b0.bi = 13	7 x (irr-G2-7) + 9 x (irr-G2-14)
vtx-G02-161-37-15	Δ = 161	bi.bi = 37	b0.bi = 15	1 x (irr-G2-7) + 12 x (irr-G2-14)
vtx-G02-161-63-17	Δ = 161	bi.bi = 63	b0.bi = 17	10 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-161-71-19	Δ = 161	bi.bi = 71	b0.bi = 19	4 x (irr-G2-7) + 4 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-161-82-18	Δ = 161	bi.bi = 82	b0.bi = 18	14 x (irr-G2-7) + 1 x (irr-G2-77a)
vtx-G02-161-90-20	Δ = 161	bi.bi = 90	b0.bi = 20	8 x (irr-G2-7) + 3 x (irr-G2-14) + 1 x (irr-G2-77a)
vtx-G02-161-98-22	Δ = 161	bi.bi = 98	b0.bi = 22	2 x (irr-G2-7) + 6 x (irr-G2-14) + 1 x (irr-G2-77a)
vtx-G02-161-135-23	Δ = 161	bi.bi = 135	b0.bi = 23	10 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-77b)
vtx-G02-161-143-25	Δ = 161	bi.bi = 143	b0.bi = 25	4 x (irr-G2-7) + 5 x (irr-G2-14) + 1 x (irr-G2-77b)
vtx-G02-161-159-29	Δ = 161	bi.bi = 159	b0.bi = 29	3 x (irr-G2-7) + 2 x (irr-G2-77a)
vtx-G02-161-185-31	Δ = 161	bi.bi = 185	b0.bi = 31	1 x (irr-G2-7) + 1 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-161-257-37	Δ = 161	bi.bi = 257	b0.bi = 37	1 x (irr-G2-7) + 1 x (irr-G2-14) + 2 x (irr-G2-77b)
vtx-G02-162-54-18	Δ = 162	bi.bi = 54	b0.bi = 18	1 x (irr-G2-14) + 6 x (irr-G2-27)
vtx-G02-162-58-16	Δ = 162	bi.bi = 58	b0.bi = 16	12 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-64)
vtx-G02-162-66-18	Δ = 162	bi.bi = 66	b0.bi = 18	6 x (irr-G2-7) + 5 x (irr-G2-14) + 1 x (irr-G2-64)
vtx-G02-162-74-20	Δ = 162	bi.bi = 74	b0.bi = 20	8 x (irr-G2-14) + 1 x (irr-G2-64)
vtx-G02-162-108-24	Δ = 162	bi.bi = 108	b0.bi = 24	3 x (irr-G2-7) + 1 x (irr-G2-27) + 2 x (irr-G2-64)
vtx-G02-162-135-27	Δ = 162	bi.bi = 135	b0.bi = 27	1 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-162-180-30	Δ = 162	bi.bi = 180	b0.bi = 30	3 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-163-49-17	Δ = 163	bi.bi = 49	b0.bi = 17	2 x (irr-G2-7) + 2 x (irr-G2-14) + 5 x (irr-G2-27)
vtx-G02-163-103-23	Δ = 163	bi.bi = 103	b0.bi = 23	5 x (irr-G2-7) + 1 x (irr-G2-14) + 2 x (irr-G2-64)
vtx-G02-164-36-14	Δ = 164	bi.bi = 36	b0.bi = 14	10 x (irr-G2-7) + 4 x (irr-G2-27)
vtx-G02-164-44-16	Δ = 164	bi.bi = 44	b0.bi = 16	4 x (irr-G2-7) + 3 x (irr-G2-14) + 4 x (irr-G2-27)
vtx-G02-165-31-13	Δ = 165	bi.bi = 31	b0.bi = 13	12 x (irr-G2-7) + 1 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-165-39-15	Δ = 165	bi.bi = 39	b0.bi = 15	6 x (irr-G2-7) + 4 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-165-47-17	Δ = 165	bi.bi = 47	b0.bi = 17	7 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-165-108-24	Δ = 165	bi.bi = 108	b0.bi = 24	1 x (irr-G2-7) + 1 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-165-153-27	Δ = 165	bi.bi = 153	b0.bi = 27	3 x (irr-G2-7) + 3 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-166-26-12	Δ = 166	bi.bi = 26	b0.bi = 12	14 x (irr-G2-7) + 2 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-166-34-14	Δ = 166	bi.bi = 34	b0.bi = 14	8 x (irr-G2-7) + 5 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-166-42-16	Δ = 166	bi.bi = 42	b0.bi = 16	2 x (irr-G2-7) + 8 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-166-76-20	Δ = 166	bi.bi = 76	b0.bi = 20	5 x (irr-G2-7) + 3 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-166-103-23	Δ = 166	bi.bi = 103	b0.bi = 23	3 x (irr-G2-7) + 2 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-166-148-26	Δ = 166	bi.bi = 148	b0.bi = 26	5 x (irr-G2-7) + 1 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-167-13-9	Δ = 167	bi.bi = 13	b0.bi = 9	22 x (irr-G2-7) + 1 x (irr-G2-27)
vtx-G02-167-21-11	Δ = 167	bi.bi = 21	b0.bi = 11	16 x (irr-G2-7) + 3 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-167-29-13	Δ = 167	bi.bi = 29	b0.bi = 13	10 x (irr-G2-7) + 6 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-167-37-15	Δ = 167	bi.bi = 37	b0.bi = 15	4 x (irr-G2-7) + 9 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-167-71-19	Δ = 167	bi.bi = 71	b0.bi = 19	7 x (irr-G2-7) + 1 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-167-79-21	Δ = 167	bi.bi = 79	b0.bi = 21	1 x (irr-G2-7) + 4 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-167-90-20	Δ = 167	bi.bi = 90	b0.bi = 20	11 x (irr-G2-7) + 1 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-167-98-22	Δ = 167	bi.bi = 98	b0.bi = 22	5 x (irr-G2-7) + 3 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-167-143-25	Δ = 167	bi.bi = 143	b0.bi = 25	7 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-167-151-27	Δ = 167	bi.bi = 151	b0.bi = 27	1 x (irr-G2-7) + 5 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-167-167-31	Δ = 167	bi.bi = 167	b0.bi = 31	1 x (irr-G2-27) + 2 x (irr-G2-77a)
vtx-G02-168-8-8	Δ = 168	bi.bi = 8	b0.bi = 8	24 x (irr-G2-7) + 1 x (irr-G2-14)
vtx-G02-168-16-10	Δ = 168	bi.bi = 16	b0.bi = 10	18 x (irr-G2-7) + 4 x (irr-G2-14)
vtx-G02-168-24-12	Δ = 168	bi.bi = 24	b0.bi = 12	12 x (irr-G2-7) + 7 x (irr-G2-14)
vtx-G02-168-32-14	Δ = 168	bi.bi = 32	b0.bi = 14	6 x (irr-G2-7) + 10 x (irr-G2-14)
vtx-G02-168-40-16	Δ = 168	bi.bi = 40	b0.bi = 16	13 x (irr-G2-14)
vtx-G02-168-66-18	Δ = 168	bi.bi = 66	b0.bi = 18	9 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-168-74-20	Δ = 168	bi.bi = 74	b0.bi = 20	3 x (irr-G2-7) + 5 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-168-85-19	Δ = 168	bi.bi = 85	b0.bi = 19	13 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-77a)
