vtx-G02-n7-n3-n1	Δ = -7	bi.bi = -3	b0.bi = -1	1 x (irr-G2-7)
vtx-G02-125-27-11	Δ = 125	bi.bi = 27	b0.bi = 11	4 x (irr-G2-7) + 6 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-125-69-17	Δ = 125	bi.bi = 69	b0.bi = 17	1 x (irr-G2-7) + 1 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-125-88-18	Δ = 125	bi.bi = 88	b0.bi = 18	5 x (irr-G2-7) + 1 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-125-141-23	Δ = 125	bi.bi = 141	b0.bi = 23	1 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-126-6-6	Δ = 126	bi.bi = 6	b0.bi = 6	18 x (irr-G2-7) + 1 x (irr-G2-14)
vtx-G02-126-14-8	Δ = 126	bi.bi = 14	b0.bi = 8	12 x (irr-G2-7) + 4 x (irr-G2-14)
vtx-G02-126-22-10	Δ = 126	bi.bi = 22	b0.bi = 10	6 x (irr-G2-7) + 7 x (irr-G2-14)
vtx-G02-126-30-12	Δ = 126	bi.bi = 30	b0.bi = 12	10 x (irr-G2-14)
vtx-G02-126-64-16	Δ = 126	bi.bi = 64	b0.bi = 16	3 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-126-83-17	Δ = 126	bi.bi = 83	b0.bi = 17	7 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-77a)
vtx-G02-126-91-19	Δ = 126	bi.bi = 91	b0.bi = 19	1 x (irr-G2-7) + 4 x (irr-G2-14) + 1 x (irr-G2-77a)
vtx-G02-126-128-20	Δ = 126	bi.bi = 128	b0.bi = 20	9 x (irr-G2-7) + 1 x (irr-G2-77b)
vtx-G02-126-136-22	Δ = 126	bi.bi = 136	b0.bi = 22	3 x (irr-G2-7) + 3 x (irr-G2-14) + 1 x (irr-G2-77b)
vtx-G02-127-51-13	Δ = 127	bi.bi = 51	b0.bi = 13	11 x (irr-G2-7) + 1 x (irr-G2-64)
vtx-G02-127-59-15	Δ = 127	bi.bi = 59	b0.bi = 15	5 x (irr-G2-7) + 3 x (irr-G2-14) + 1 x (irr-G2-64)
vtx-G02-127-128-24	Δ = 127	bi.bi = 128	b0.bi = 24	1 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-128-42-14	Δ = 128	bi.bi = 42	b0.bi = 14	1 x (irr-G2-7) + 5 x (irr-G2-27)
vtx-G02-129-37-13	Δ = 129	bi.bi = 37	b0.bi = 13	3 x (irr-G2-7) + 1 x (irr-G2-14) + 4 x (irr-G2-27)
vtx-G02-130-32-12	Δ = 130	bi.bi = 32	b0.bi = 12	5 x (irr-G2-7) + 2 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-131-19-9	Δ = 131	bi.bi = 19	b0.bi = 9	13 x (irr-G2-7) + 2 x (irr-G2-27)
vtx-G02-131-27-11	Δ = 131	bi.bi = 27	b0.bi = 11	7 x (irr-G2-7) + 3 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-131-35-13	Δ = 131	bi.bi = 35	b0.bi = 13	1 x (irr-G2-7) + 6 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-131-96-20	Δ = 131	bi.bi = 96	b0.bi = 20	2 x (irr-G2-7) + 2 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-132-14-8	Δ = 132	bi.bi = 14	b0.bi = 8	15 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-132-22-10	Δ = 132	bi.bi = 22	b0.bi = 10	9 x (irr-G2-7) + 4 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-132-30-12	Δ = 132	bi.bi = 30	b0.bi = 12	3 x (irr-G2-7) + 7 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-132-72-18	Δ = 132	bi.bi = 72	b0.bi = 18	2 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-132-91-19	Δ = 132	bi.bi = 91	b0.bi = 19	4 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-132-136-22	Δ = 132	bi.bi = 136	b0.bi = 22	6 x (irr-G2-7) + 1 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-132-144-24	Δ = 132	bi.bi = 144	b0.bi = 24	3 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-133-9-7	Δ = 133	bi.bi = 9	b0.bi = 7	17 x (irr-G2-7) + 2 x (irr-G2-14)
vtx-G02-133-17-9	Δ = 133	bi.bi = 17	b0.bi = 9	11 x (irr-G2-7) + 5 x (irr-G2-14)
vtx-G02-133-25-11	Δ = 133	bi.bi = 25	b0.bi = 11	5 x (irr-G2-7) + 8 x (irr-G2-14)
vtx-G02-133-59-15	Δ = 133	bi.bi = 59	b0.bi = 15	8 x (irr-G2-7) + 1 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-133-67-17	Δ = 133	bi.bi = 67	b0.bi = 17	2 x (irr-G2-7) + 3 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-133-86-18	Δ = 133	bi.bi = 86	b0.bi = 18	6 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-77a)
vtx-G02-133-94-20	Δ = 133	bi.bi = 94	b0.bi = 20	5 x (irr-G2-14) + 1 x (irr-G2-77a)
vtx-G02-133-131-21	Δ = 133	bi.bi = 131	b0.bi = 21	8 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-77b)
vtx-G02-133-139-23	Δ = 133	bi.bi = 139	b0.bi = 23	2 x (irr-G2-7) + 4 x (irr-G2-14) + 1 x (irr-G2-77b)
vtx-G02-134-54-14	Δ = 134	bi.bi = 54	b0.bi = 14	10 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-64)
vtx-G02-134-62-16	Δ = 134	bi.bi = 62	b0.bi = 16	4 x (irr-G2-7) + 4 x (irr-G2-14) + 1 x (irr-G2-64)
vtx-G02-134-176-28	Δ = 134	bi.bi = 176	b0.bi = 28	1 x (irr-G2-7) + 1 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-135-45-15	Δ = 135	bi.bi = 45	b0.bi = 15	1 x (irr-G2-14) + 5 x (irr-G2-27)
vtx-G02-135-99-21	Δ = 135	bi.bi = 99	b0.bi = 21	3 x (irr-G2-7) + 2 x (irr-G2-64)
vtx-G02-136-40-14	Δ = 136	bi.bi = 40	b0.bi = 14	2 x (irr-G2-7) + 2 x (irr-G2-14) + 4 x (irr-G2-27)
vtx-G02-137-27-11	Δ = 137	bi.bi = 27	b0.bi = 11	10 x (irr-G2-7) + 3 x (irr-G2-27)
vtx-G02-137-35-13	Δ = 137	bi.bi = 35	b0.bi = 13	4 x (irr-G2-7) + 3 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-138-22-10	Δ = 138	bi.bi = 22	b0.bi = 10	12 x (irr-G2-7) + 1 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-138-30-12	Δ = 138	bi.bi = 30	b0.bi = 12	6 x (irr-G2-7) + 4 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-138-38-14	Δ = 138	bi.bi = 38	b0.bi = 14	7 x (irr-G2-14) + 2 x (irr-G2-27)
