vtx-C05-0-0-0	Δ = 0	bi.bi = 0	b0.bi = 0	1 x (irr-C5-55)
vtx-C05-502-22-18	Δ = 502	bi.bi = 22	b0.bi = 18	15 x (irr-C5-10) + 3 x (irr-C5-55) + 2 x (irr-C5-132-h) + 1 x (irr-C5-110)
vtx-C05-502-34-22	Δ = 502	bi.bi = 34	b0.bi = 22	15 x (irr-C5-10) + 2 x (irr-C5-132-h) + 1 x (irr-C5-220-h) + 1 x (irr-C5-165)
vtx-C05-503-32-22	Δ = 503	bi.bi = 32	b0.bi = 22	9 x (irr-C5-10) + 2 x (irr-C5-55) + 3 x (irr-C5-132-h) + 1 x (irr-C5-320-h)
vtx-C05-516-17-17	Δ = 516	bi.bi = 17	b0.bi = 17	1 x (irr-C5-10) + 10 x (irr-C5-44) + 1 x (irr-C5-55) + 1 x (irr-C5-132-h)
vtx-C05-517-13-15	Δ = 517	bi.bi = 13	b0.bi = 15	11 x (irr-C5-10) + 8 x (irr-C5-44) + 1 x (irr-C5-110)
vtx-C05-520-17-17	Δ = 520	bi.bi = 17	b0.bi = 17	8 x (irr-C5-10) + 5 x (irr-C5-44) + 1 x (irr-C5-55) + 2 x (irr-C5-110)
vtx-C05-520-20-18	Δ = 520	bi.bi = 20	b0.bi = 18	8 x (irr-C5-10) + 5 x (irr-C5-44) + 2 x (irr-C5-55) + 1 x (irr-C5-165)
vtx-C05-521-11-13	Δ = 521	bi.bi = 11	b0.bi = 13	29 x (irr-C5-10) + 5 x (irr-C5-44) + 1 x (irr-C5-132-h)
vtx-C05-521-27-21	Δ = 521	bi.bi = 27	b0.bi = 21	2 x (irr-C5-10) + 5 x (irr-C5-44) + 1 x (irr-C5-132-h) + 1 x (irr-C5-110) + 1 x (irr-C5-320-h)
vtx-C05-522-26-20	Δ = 522	bi.bi = 26	b0.bi = 20	12 x (irr-C5-10) + 3 x (irr-C5-44) + 1 x (irr-C5-320-h) + 1 x (irr-C5-165)
vtx-C05-523-19-17	Δ = 523	bi.bi = 19	b0.bi = 17	16 x (irr-C5-10) + 4 x (irr-C5-44) + 2 x (irr-C5-55) + 2 x (irr-C5-132-h)
vtx-C05-523-21-19	Δ = 523	bi.bi = 21	b0.bi = 19	5 x (irr-C5-10) + 2 x (irr-C5-44) + 2 x (irr-C5-55) + 3 x (irr-C5-110)
vtx-C05-523-24-20	Δ = 523	bi.bi = 24	b0.bi = 20	5 x (irr-C5-10) + 2 x (irr-C5-44) + 3 x (irr-C5-55) + 1 x (irr-C5-110) + 1 x (irr-C5-165)
vtx-C05-523-36-24	Δ = 523	bi.bi = 36	b0.bi = 24	5 x (irr-C5-10) + 2 x (irr-C5-44) + 1 x (irr-C5-220-h) + 2 x (irr-C5-165)
vtx-C05-524-15-15	Δ = 524	bi.bi = 15	b0.bi = 15	26 x (irr-C5-10) + 2 x (irr-C5-44) + 1 x (irr-C5-55) + 1 x (irr-C5-132-h) + 1 x (irr-C5-110)
vtx-C05-525-11-13	Δ = 525	bi.bi = 11	b0.bi = 13	36 x (irr-C5-10) + 2 x (irr-C5-110)
vtx-C05-525-14-14	Δ = 525	bi.bi = 14	b0.bi = 14	36 x (irr-C5-10) + 1 x (irr-C5-55) + 1 x (irr-C5-165)
vtx-C05-525-25-19	Δ = 525	bi.bi = 25	b0.bi = 19	20 x (irr-C5-10) + 2 x (irr-C5-44) + 2 x (irr-C5-132-h) + 1 x (irr-C5-320-h)
vtx-C05-525-27-21-a	Δ = 525	bi.bi = 27	b0.bi = 21	3 x (irr-C5-10) + 3 x (irr-C5-44) + 4 x (irr-C5-55) + 3 x (irr-C5-132-h)
vtx-C05-525-27-21-b	Δ = 525	bi.bi = 27	b0.bi = 21	9 x (irr-C5-10) + 3 x (irr-C5-110) + 1 x (irr-C5-320-h)
vtx-C05-525-30-22	Δ = 525	bi.bi = 30	b0.bi = 22	9 x (irr-C5-10) + 1 x (irr-C5-55) + 1 x (irr-C5-110) + 1 x (irr-C5-320-h) + 1 x (irr-C5-165)
vtx-C05-525-36-24	Δ = 525	bi.bi = 36	b0.bi = 24	3 x (irr-C5-10) + 3 x (irr-C5-44) + 3 x (irr-C5-132-h) + 1 x (irr-C5-110) + 1 x (irr-C5-220-h)
vtx-C05-526-23-19	Δ = 526	bi.bi = 23	b0.bi = 19	13 x (irr-C5-10) + 1 x (irr-C5-44) + 3 x (irr-C5-55) + 2 x (irr-C5-132-h) + 1 x (irr-C5-110)
vtx-C05-526-35-23	Δ = 526	bi.bi = 35	b0.bi = 23	13 x (irr-C5-10) + 1 x (irr-C5-44) + 2 x (irr-C5-132-h) + 1 x (irr-C5-220-h) + 1 x (irr-C5-165)
vtx-C05-526-40-26	Δ = 526	bi.bi = 40	b0.bi = 26	3 x (irr-C5-10) + 1 x (irr-C5-132-h) + 2 x (irr-C5-320-h) + 1 x (irr-C5-165)
vtx-C05-527-33-23	Δ = 527	bi.bi = 33	b0.bi = 23	7 x (irr-C5-10) + 1 x (irr-C5-44) + 2 x (irr-C5-55) + 3 x (irr-C5-132-h) + 1 x (irr-C5-320-h)
vtx-C05-528-31-23	Δ = 528	bi.bi = 31	b0.bi = 23	5 x (irr-C5-55) + 3 x (irr-C5-132-h) + 1 x (irr-C5-110)
vtx-C05-528-40-26	Δ = 528	bi.bi = 40	b0.bi = 26	1 x (irr-C5-55) + 3 x (irr-C5-132-h) + 2 x (irr-C5-110) + 1 x (irr-C5-220-h)
vtx-C05-528-43-27	Δ = 528	bi.bi = 43	b0.bi = 27	2 x (irr-C5-55) + 3 x (irr-C5-132-h) + 1 x (irr-C5-220-h) + 1 x (irr-C5-165)
vtx-C05-529-34-22	Δ = 529	bi.bi = 34	b0.bi = 22	21 x (irr-C5-10) + 4 x (irr-C5-132-h) + 1 x (irr-C5-220-h)
vtx-C05-541-14-16	Δ = 541	bi.bi = 14	b0.bi = 16	9 x (irr-C5-10) + 9 x (irr-C5-44) + 1 x (irr-C5-110)
vtx-C05-544-18-18	Δ = 544	bi.bi = 18	b0.bi = 18	6 x (irr-C5-10) + 6 x (irr-C5-44) + 1 x (irr-C5-55) + 2 x (irr-C5-110)
vtx-C05-544-21-19	Δ = 544	bi.bi = 21	b0.bi = 19	6 x (irr-C5-10) + 6 x (irr-C5-44) + 2 x (irr-C5-55) + 1 x (irr-C5-165)
vtx-C05-545-12-14	Δ = 545	bi.bi = 12	b0.bi = 14	27 x (irr-C5-10) + 6 x (irr-C5-44) + 1 x (irr-C5-132-h)
vtx-C05-545-28-22	Δ = 545	bi.bi = 28	b0.bi = 22	6 x (irr-C5-44) + 1 x (irr-C5-132-h) + 1 x (irr-C5-110) + 1 x (irr-C5-320-h)
vtx-C05-546-27-21	Δ = 546	bi.bi = 27	b0.bi = 21	10 x (irr-C5-10) + 4 x (irr-C5-44) + 1 x (irr-C5-320-h) + 1 x (irr-C5-165)
vtx-C05-547-20-18	Δ = 547	bi.bi = 20	b0.bi = 18	14 x (irr-C5-10) + 5 x (irr-C5-44) + 2 x (irr-C5-55) + 2 x (irr-C5-132-h)
